short_name,character,unicode,categories,search_keyword
meeting-room,,/e149,people,"meeting,room,collaborate,colleagues,teamwork,peer to peer"
media-forward,,/e14a,"actions,arrows","forward,media,arrow,end,finish"
media-play,,/e14b,"actions,arrows","play,media,arrow"
media-pause,,/e14c,"actions,arrows","pause,media,arrow"
media-reverse,,/e14d,"actions,arrows","reverse,media,arrow"
media-rewind,,/e14e,"actions,arrows","rewind,media,arrow,start,back"
measurement-document,,/e14f,objects,"measure,weight,scale,precision,technical,calibrate,calibration,calculation"
measuring-point,,/e150,objects,"measure,point,scale,precision,arrow"
measure,,/e151,objects,"measure,weight,scale,precision,technical,calibrate,calibration,calculation"
map-3,,/e152,"objects,places","map,card,x marks the spot,treasure,navigation,hunt,find,destination,location"
locked,,/e153,"actions,objects,status","locked,padlock,private,status,in use,forbidden,restricted,safe"
letter,,/e154,objects,"letter,mail,post,postal,envelope,address,contact,correspondence"
journey-arrive,,/e155,"actions,arrows","journey,arrive,arrow,placement"
journey-change,,/e156,"actions,arrows","journey,change,direction,arrow,placement"
journey-depart,,/e157,"actions,arrows","journey,depart,arrow,move,placement"
it-system,,/e158,"devices,objects","server,it,machine,computer,technology,device,system"
it-instance,,/e159,"devices,objects","server,it,machine,computer,technology,device,instance"
it-host,,/e15a,"devices,objects","server,it,machine,computer,technology,device,host"
iphone-2,,/e15b,"devices,objects","iphone,phone,smart phone,landscape,tablet,mobile,responsive,cozy"
ipad-2,,/e15c,"devices,objects","ipad,landscape,tablet,mobile,responsive,cozy"
inventory,,/e15d,transport,"inventory,truck,wrench,tools"
insurance-house,,/e15e,documents,"document,page,file,attachment,insurance,house"
insurance-life,,/e15f,documents,"document,page,file,attachment,insurance,life"
insurance-car,,/e160,documents,"document,page,file,attachment,insurance,car"
initiative,,/e161,"arrows,objects","initiative,initiate,begin,enter,right,arrow,circle"
incident,,/e162,status,"incident,question,message"
group-2,,/e163,actions,"group,data,aggregate,list,table"
goal,,/e164,objects,"goal,target,result,objective,aim"
functional-location,,/e165,objects,"arrow,locate,me,map,location,pointer,navigation,functional"
full-screen,,/e166,actions,"full,screen,arrow"
form,,/e167,form,"form,details,text"
fob-watch,,/e168,objects,"fob watch,time,stop watch,timer,countdown"
blank-tag,,/e169,objects,"tag,label,marker,indicator,blank"
family-protection,,/e16a,people,"family,protection,people,house,roof,family"
folder,,/e16b,folder,"folder,details,directory,library"
fax-machine,,/e16c,"actions,devices","fax,machine,communicate"
example,,/e16d,objects,"example,dots,cicles,individual,odd"
eraser,,/e16e,actions,"pencil,pen,erase,remove,undo,text"
employee-rejections,,/e16f,"people,status","person,x,rejections,employee,hr,human resources"
drop-down-list,,/e170,"actions,arrows,tables","dropdown,list,arrow,drop down,view,view settings,view-settings,table,list,sort,filter,group,settings"
draw-rectangle,,/e171,"actions,objects","draw,rectangle,resize,shape,create"
document,,/e172,documents,"document,page,file,attachment,blank,new"
doctor,,/e173,"medical,people","doctor,medical,cross,emergency,hospital"
discussion-2,,/e174,callout,"speech,bubble,comment,discussion,text"
discussion,,/e175,callout,"speech,bubble,comment,discussion,blank"
dimension,,/e176,objects,"dimension,layers,stacked"
customer-and-supplier,,/e177,people,"customer and supplier,package,product,satisfaction,returns,warehouse,person,seller,buyer,inventory"
crop,,/e178,actions,"crop,clip,snip,cut,picture,image,shape,obect"
add-contact,,/e179,people,"person,contact,business card,customer,details,address,information,add,plus,additional,another,more"
compare-2,,/e17a,"actions,objects","compare,law,legal,justice,scale,measure,weight,balance,compare,comparison"
color-fill,,/e17b,objects,"square,filled,color"
collision,,/e17c,"objects,transport","car,crash,accident,damage"
curriculum,,/e17d,folder,"folder,curriculum,learning,documents,content"
chart-axis,,/e17e,charts,"analytics,chart,display,data,chart axis,arrows,directions"
full-stacked-chart,,/e17f,charts,"analytics,chart,display,data,full stacked chart"
full-stacked-column-chart,,/e180,charts,"analytics,chart,display,data,full stacked column chart"
vertical-bar-chart-2,,/e181,charts,"analytics,chart,display,data,vertical bar chart,column"
horizontal-bar-chart-2,,/e182,charts,"analytics,chart,display,data,horizontal bar chart"
horizontal-stacked-chart,,/e183,charts,"analytics,chart,display,data,horizontal stacked chart"
vertical-stacked-chart,,/e184,charts,"analytics,chart,display,data,vertical stacked chart"
choropleth-chart,,/e185,charts,"analytics,chart,display,data,choropleth chart,geographic,map,world"
geographic-bubble-chart,,/e186,charts,"analytics,chart,display,data,geographic,bubble,map,world"
multiple-radar-chart,,/e187,charts,"analytics,chart,display,data,multiple radar chart"
radar-chart,,/e188,charts,"analytics,chart,display,data,radar-chart"
crossed-line-chart,,/e189,charts,"analytics,chart,display,data,crossed line chart"
multiple-line-chart,,/e18a,charts,"analytics,chart,display,data,multiple line chart"
multiple-bar-chart,,/e18b,charts,"analytics,chart,display,data,multiple bar chart"
line-chart,,/e18c,charts,"analytics,chart,display,data,line chart"
line-chart-dual-axis,,/e18d,charts,"analytics,chart,display,data,line chart,dual axis"
bubble-chart,,/e18e,charts,"analytics,chart,display,data,bubble chart"
scatter-chart,,/e18f,charts,"analytics,chart,display,data,scatter chart"
multiple-pie-chart,,/e190,charts,"analytics,chart,display,data,multiple,pie chart"
column-chart-dual-axis,,/e191,charts,"analytics,chart,display,data,column,dual axis"
tag-cloud-chart,,/e192,charts,"analytics,chart,display,data,speech,tag,cloud"
area-chart,,/e193,charts,"analytics,chart,display,data,area"
cause,,/e194,actions,"get,reason,incoming,arrow,relocate,take"
cart-3,,/e195,shopping,"cart,trolley,basket,shopping,item,add,put in,insert,down,arrow"
cart-2,,/e196,shopping,"cart,trolley,basket,shopping,empty,remove,take out,clear,up,arrow"
bus-public-transport,,/e197,transport,"bus,public,traffic,vehicle"
burglary,,/e198,objects,"money,thief,loss,theft,safe,unsafe,burglary,robbery,bank"
building,,/e199,"objects,places","building,company,firm,factory,office"
border,,/e19a,objects,"border,square,outline"
bookmark,,/e19b,actions,"bookmark,later,marker,save"
badge,,/e19c,objects,"badge,insignia,star,service,identity,authority,legitimate,coat of arms,membership,award,rank"
attachment-audio,,/e19d,documents,"document,page,file,attachment,audio,sound"
attachment-video,,/e19e,documents,"document,page,file,attachment,video,film,movie"
attachment-html,,/e19f,documents,"document,page,file,attachment,html,web,website"
attachment-photo,,/e1a0,documents,"document,page,file,attachment,photo,image"
attachment-e-pub,,/e1a1,documents,"document,page,file,e pub,electronic publication,e book"
attachment-zip-file,,/e1a2,documents,"document,page,file,zip,compressed"
attachment-text-file,,/e1a3,documents,"document,page,file,text"
add-equipment,,/e1a4,actions,"wrench,control,configuration,settings,tool,add,plus,additional,another,more"
add-activity,,/e1a5,actions,"activity,activities,tasks,to do,list,add,plus,additional,another,more"
activity-individual,,/e1a6,clipboards,"activity,activities,tasks,to do,list,individual,person"
activity-2,,/e1a7,clipboards,"activity,activities,tasks,to do,list,check list,correct,success,tick mark"
add-activity-2,,/e1a8,clipboards,"activity,activities,tasks,to do,list,check list,correct,success,tick mark,add,plus,additional,another,more"
activity-items,,/e1a9,clipboards,"activity,activities,tasks,to do,list,items"
activity-assigned-to-goal,,/e1aa,clipboards,"activity,activities,tasks,to do,assigned to goal,target,objective"
status-positive,,/e1ab,status,"positive,completed,on track,led,traffic lights,street sign,lifecycle"
status-negative,,/e1ac,status,"negative,attention,led,traffic lights,street sign,lifecycle"
status-inactive,,/e1ad,status,"inactive,neutral,information,led,traffic lights,street sign,lifecycle"
status-critical,,/e1ae,status,"critical,in process,warning,led,traffic lights,street sign,lifecycle"
blank-tag-2,,/e1af,objects,"tag,label,marker,indicator,blank"
cart-full,,/e1b0,shopping,"cart,trolley,basket,shopping,full,capacity,load"
locate-me,,/e1b1,"actions,places","arrow,locate,me,map,location,pointer,navigation"
paging,,/e1b2,actions,"paging,navigation"
company-view,,/e1b3,people,"view,group,company,personnel,firm,overview"
document-text,,/e1b4,documents,"document,page,file,text"
explorer,,/e1b5,objects,"explorer,compass"
personnel-view,,/e1b6,people,"view,person,profile,personnel,overview"
sorting-ranking,,/e1b7,"actions,arrows","sort,ranking,ascending,descending,arrow"
drill-down,,/e1b8,arrows,"drill down,arrow,detail,hierarchy,level"
drill-up,,/e1b9,arrows,"drill up,arrow,detail,hierarchy,level"
vds-file,,/e1ba,documnets,"document,page,file,text,attachment,Visual Design Stream,vds"
sap-logo-shape,,/e1bb,objects,"sap,logo,shape"
folder-full,,/e1bc,folder,"folder,full,directory,library,contents"
system-exit,,/e1bd,"actions,arrows","system,exit"
system-exit-2,,/e1be,"actions,arrows","system,exit"
close-command-field,,/e1bf,arrows,"close command field,navigation,left,page left,previous,arrow"
open-command-field,,/e1c0,"actions,arrows","open command field,navigation,right,page right,next,arrow"
sys-enter-2,,/e1c1,"actions,status","system,enter,correct,tick,affirmative,available,online,present,me,check,checkmark,status,message,filled,notification,success,positive"
sys-enter,,/e1c2,actions,"system,enter,correct,tick,affirmative,check,checkmark,status,message,positive,success"
sys-help-2,,/e1c3,"actions,status","system,help,circle,question,filled"
sys-help,,/e1c4,"actions,status","system,help,circle,question"
sys-back,,/e1c5,"actions,arrows","system,back,arrows"
sys-back-2,,/e1c6,"actions,arrows","system,back,arrows"
sys-cancel,,/e1c7,actions,"clear,remove,cancel,x,status,message,error,message-error,notification"
sys-cancel-2,,/e1c8,actions,"clear,remove,cancel,x,status,message,filled,error,message-error,notification"
open-folder,,/e1c9,folder,"folder,open"
sys-find-next,,/e1ca,actions,"find,binoculars,look up,add,plus,additional,another,more"
sys-find,,/e1cb,actions,"find,binoculars,look up"
sys-monitor,,/e1cc,"devices,objects","screen,monitor,tv"
sys-prev-page,,/e1cd,"actions,documents","system,previous,page,up,arrows"
sys-first-page,,/e1ce,"actions,documents","system,first,page,up,top,arrows"
sys-next-page,,/e1cf,"actions,documents","system,next,page,down,arrows"
sys-last-page,,/e1d0,"actions,documents","system,last,page,down,bottom,arrows"
generate-shortcut,,/e1d1,actions,"generate,shortcut,arrow"
create-session,,/e1d2,actions,"create,session"
display-more,,/e1d3,actions,"display,details,more,arrow"
enter-more,,/e1d4,actions,"enter,details,more,arrow"
zoom-in,,/e1d5,actions,"zoom,in,magnify,glass,plus,enlarge,bigger"
zoom-out,,/e1d6,actions,"zoom,out,glass,minus,reduce,smaller"
header,,/e1d7,objects,"maximize,header,screen"
detail-view,,/e1d8,"actions,form","search,form,look up,find,view,detial"
collapse,,/e1d9,actions,"collapse all,minus,ungroup all,arrow"
expand,,/e1da,actions,"expand all,plus,group all,arrow"
positive,,/e1db,actions,"plus,positive"
negative,,/e1dc,actions,"minus,remove,subtract,negative"
display,,/e1dd,actions,"display,details,inspect,spectacles,glasses"
menu2,,/e1de,actions,"menu,hamburger menu,main menu"
redo,,/e1df,"actions,arrows","redo,arrow,previous state,history,forwards"
undo,,/e1e0,"actions,arrows","undo,arrow,previous state,history,backwards"
navigation-up-arrow,,/e1e1,"actions,arrows","navigation,up,arrow"
navigation-down-arrow,,/e1e2,"actions,arrows","navigation,down,collapse,expanded tree,tree arrow,arrow"
down,,/e1e3,arrows,"down,triangle"
up,,/e1e4,arrows,"up,triangle"
shelf,,/e1e5,objects,"shelf,storage,drawers,compartments"
background,,/e1e6,objects,"image,placeholder,picture,hills,mountains,sun"
resize,,/e1e7,"actions,arrows","resize,bigger,smaller"
move,,/e1e8,"actions,arrows","move,relocate,left,right,up,down"
show,,/e1e9,actions,"show,eye"
hide,,/e1ea,actions,"hide,eye"
nav-back,,/e1eb,"actions,arrows","navigation,back,previous,arrow"
error,,/e1ec,status,"message,error,negative,notifications,status,solid"
slim-arrow-right,,/e1ed,"actions,arrows","slim,thin,skinny,arrow,right,scroll right"
slim-arrow-left,,/e1ee,"actions,arrows","slim,thin,skinny,arrow,left,scroll left"
slim-arrow-down,,/e1ef,"actions,arrows","slim,thin,skinny,arrow,down,select navigation,combobox,multi combobox"
slim-arrow-up,,/e1f0,"actions,arrows","slim,thin,skinny,arrow,up"
forward,,/e1f1,arrows,"forward,arrow"
overflow,,/e1f2,actions,"overflow,dots,ellipsis,more"
value-help,,/e1f3,actions,"value,help,popup,assistance,multi input"
multiselect,,/e1f4,actions,"multi select,list,table,data"
exitfullscreen,,/e1f5,actions,"exit,fullscreen,arrow"
sys-add,,/e1f6,actions,"add,plus,additional,another,more,add row,add object,add item"
sys-minus,,/e1f7,actions,"minus,remove,subtract"
dropdown,,/e1f8,arrows,"dropdown,menu,menu button,arrow"
expand-group,,/e1f9,arrows,"expand,group,move to bottom,arrow"
vertical-grip,,/e1fa,"actions,objects","vertical,grip,move left,move right,splitter"
horizontal-grip,,/e1fb,"actions,objects","horizontal,grip,move up,move down,splitter"
sort-descending,,/e1fc,"actions,arrows","sort,descending,down,table,aggregate"
sort-ascending,,/e1fd,"actions,arrows","sort,ascending,up,table,aggregate"
arrow-down,,/e1fe,arrows,"arrow,circle,down,variant,management,selection,options"
legend,,/e1ff,"actions,objects","legend,description,colors,charts,table,planning,calendar"
collapse-group,,/e200,arrows,"collapse,group,move to top,arrow"
message-warning,,/e201,status,"message,warning,critical,notifications,status"
message-information,,/e202,status,"message,information,neutral,notifications,status"
message-success,,/e203,status,"message,success,positive,notifications,status"
restart,,/e204,"actions,arrows","restart,process,play"
stop,,/e205,actions,"stop,process,play"
add-process,,/e206,"actions,objects","process,add,plus,additional,another,more"
cancel-maintenance,,/e207,"actions,status","wrench,control,configuration,settings,tool,cancel maintenance"
activate,,/e208,actions,"activate,ignite,initiate,magic,wand,spark"
resize-horizontal,,/e209,"actions,arrows","resize,horizontal,column,screen,bigger,smaller,enlarge,reduce,arrows,lines,side to side"
resize-vertical,,/e20a,"actions,arrows","resize,vertical,row,screen,bigger,smaller,enlarge,reduce,arrows,lines,up and down"
connected,,/e20b,status,"plug,connected,on,state"
disconnected,,/e20c,actions,"plug,disconnected,unplug,state"
edit-outside,,/e20d,"actions,arrows","pencil,pen,write,edit,modify,text,outside,arrow"
key,,/e20e,objects,"key,foreign,data,lock,important"
minimize,,/e20f,"actions,objects","minimize,screen,window,reduce,hide"
back-to-top,,/e210,arrows,"back to top,jump,beginning,arrow,up"
hello-world,,/e211,"callout,objects","bubble,ui5,hello,world"
outbox,,/e212,actions,"outbox,out,arrow"
donut-chart,,/e213,charts,"analytics,chart,display,data"
heatmap-chart,,/e214,charts,"analytics,chart,display,data"
horizontal-bullet-chart,,/e215,charts,"analytics,chart,display,data"
vertical-bullet-chart,,/e216,charts,"analytics,chart,display,data"
call,,/e217,actions,"call,communicate,phone,telephone"
download-from-cloud,,/e218,"actions,arrows","download,cloud,arrow"
upload-to-cloud,,/e219,"actions,arrows","save,upload,cloud,arrow"
jam,,/e21a,"objects,places","sap,logo,jam,social,collaborate,share"
sap-ui5,,/e21b,objects,"ui5,framework,development,sap"
message-popup,,/e21c,"callout,status","message,popup,speech,bubble,exclamation,notifications,status"
cloud,,/e21d,"objects,place","cloud,platform,storage,big data,sap"
horizontal-waterfall-chart,,/e21e,charts,"analytics,chart,display,data"
vertical-waterfall-chart,,/e21f,charts,"analytics,chart,display,data"
broken-link,,/e220,"objects,status","unlink,broken,chain,hyperlink"
headset,,/e221,objects,"headset,call,help,support,talk,mic,listen"
thumb-up,,/e222,actions,"thumbs,up,like,appreciate,positive"
thumb-down,,/e223,actions,"thumbs,down,dislike,negative"
multiselect-all,,/e224,actions,"multi select,list,table,data,all,selected"
multiselect-none,,/e225,actions,"multi select,list,table,data,none,deselected"
scissors,,/e226,"actions,objects","cut,scissors,document,clipboards,file,text"
sound,,/e227,"actions,objects","sound,audio,audio,speaker"
sound-loud,,/e228,"actions,objects","sound,audio,audio,speaker,loud,louder"
sound-off,,/e229,"actions,objects","sound,audio,off,mute,quiet,speaker,cancel"
date-time,,/e22a,calendars,"date,time"
user-settings,,/e22b,"actions,people","settings,cogwheel,configuration,settings,tools,modify,customize,person,user,runtime authoring"
key-user-settings,,/e23c,actions,"settings,cogwheel,configuration,settings,tools,modify,customize,administrator,key user,runtime authoring"
developer-settings,,/e22d,actions,"settings,cogwheel,configuration,settings,tools,modify,customize,developer,runtime authoring"
text-formatting,,/e22e,"actions,text","customize,text,format,options,text decoration,text edit,rich-text"
bold-text,,/e22f,"actions,text","bold,fat,bulk,weight,text,format,text decoration,text edit,rich-text"
italic-text,,/e230,"actions,text","itlalic,slanted,leaning,text,format,text decoration,text edit,rich-text"
underline-text,,/e231,"actions,text","underline,text,format,text decoration,text edit,rich-text"
text-align-justified,,/e232,"actions,text","align,text,justified,text edit,rich-text"
text-align-left,,/e233,"actions,text","align,text,left,text edit,rich-text"
text-align-center,,/e234,"actions,text","align,text,center,text edit,rich-text"
text-align-right,,/e235,"actions,text","align,text,right,text edit,rich-text"
bullet-text,,/e236,"actions,text","bullet,text,dots,text edit,rich-text"
numbered-text,,/e237,"actions,text","numbered,text,1, 2, 3,text edit,rich-text"
co,,/e238,objects,"co pilot,mnemonics,assistant,launchpad"
ui-notifications,,/e239,"actions,callout","notify,ui,notifications,alerts,launchpad"
bell,,/e23a,objects,"bell,alarm,notify,alerts"
cancel-share,,/e23b,"actions,status","cancel share,cancel distribution,do not share with connections"
write-new-document,,/e23c,"actions,documents","document,page,file,text,edit,write,new,pencil,pen"
write-new,,/e23d,actions,"write,new,create,pencil,pen"
cancel,,/e23e,"actions,status","unable,forbidden,do not,cancel,not allowed,not allowed"
screen-split-one,,/e23f,objects,"screen,split,two,master,detail,split app"
screen-split-two,,/e240,objects,"screen,split,two,half"
screen-split-three,,/e241,objects,"screen,split,three,columns"
customize,,/e242,actions,"settings,configuration,settings,modify,customize,equaliser,fine tune"
user-edit,,/e243,"actions,people","user,edit,person,pencil,pen"
source-code,,/e244,arrows,"source,code,develop,write,syntax"
copy,,/e245,actions,"copy,document,file,duplicate,text"
paste,,/e246,"actions,clipboards","paste,document,clipboards,file,text"
line-chart-time-axis,,/e247,"charts,time","chart,line,time,axis"
clear-filter,,/e248,actions,"filter,organise,aggregate,data,clear,delete,remove,cancel"
reset,,/e249,"actions,arrows","reset,x,cancel"
trend-up,,/e24a,"actions,arrows","trend,up,diagonal,increase,improve,arrow"
trend-down,,/e24b,"actions,arrows","trend,down,diagonal,decrease,decline,arrow"
cursor,,/e24c,"actions,objects,text","cursor,arrow,mouse,pointer,select"
add-document,,/e24d,"actions,document","document,page,file,text,new,add,plus,additional,another,more"
create-form,,/e24e,"actions,form","create,form,new,add,plus,additional,another,more"
resize-corner,,/e24f,actions,"resize,dialog,corner"
chevron-phase,,/e250,"charts,objects,tables","analytics,chart,display,data,gantt,shape,chevron,phase"
chevron-phase-2,,/e251,"charts,objects,tables","analytics,chart,display,data,gantt,shape,chevron,phase"
rhombus-milestone,,/e252,"charts,objects,tables","analytics,chart,display,data,gantt,shape,rhombus,milestone"
rhombus-milestone-2,,/e253,"charts,objects,tables","analytics,chart,display,data,gantt,shape,rhombus,milestone"
circle-task,,/e254,"charts,objects,tables","analytics,chart,display,data,gantt,shape,circle,task"
circle-task-2,,/e255,"charts,objects,tables","analytics,chart,display,data,gantt,shape,circle,task"
project-definition-triangle,,/e256,"charts,objects,tables","analytics,chart,display,data,gantt,shape,triangle,project,definition"
project-definition-triangle-2,,/e257,"charts,objects,tables","analytics,chart,display,data,gantt,shape,triangle,project,definition"
master-task-triangle,,/e258,"charts,objects,tables","analytics,chart,display,data,gantt,shape,triangle,task,master"
master-task-triangle-2,,/e259,"charts,objects,tables","analytics,chart,display,data,gantt,shape,triangle,task,master"
program-triangles,,/e25a,"charts,objects,tables","analytics,chart,display,data,gantt,shape,triangle,program"
program-triangles-2,,/e25b,"charts,objects,tables","analytics,chart,display,data,gantt,shape,triangle,program"
mirrored-task-circle,,/e25c,"charts,objects,tables","analytics,chart,display,data,gantt,shape,mirrored,circle,task"
mirrored-task-circle-2,,/e25d,"charts,objects,tables","analytics,chart,display,data,gantt,shape,mirrored,circle,task"
checklist-item,,/e25e,"charts,objects,tables","analytics,chart,display,data,gantt,shape,checklist,item"
checklist-item-2,,/e25f,"charts,objects,tables","analytics,chart,display,data,gantt,shape,checklist,item"
checklist,,/e260,"charts,objects,tables","analytics,chart,display,data,gantt,shape,checklist"
checklist-2,,/e261,"charts,objects,tables","analytics,chart,display,data,gantt,shape,checklist"
chart-table-view,,/e262,"charts,tables","analytics,chart,display,data,table,columns,rows,grid,view"
filter-analytics,,/e263,"charts,objects","analytics,filter,organise,chart,customize,display,data"
filter-facets,,/e264,objects,"analytics,filter,organise,chart,customize,display,data"
filter-fields,,/e265,objects,"analytics,filter,organise,chart,customize,display,data"
indent,,/e266,"actions,text","indent,paragraph,move right,align,text edit,spacing,rich-text,arrows"
outdent,,/e267,"actions,text","outdent,paragraph,move left,align,text edit,spacing,rich-text,arrows"
heading-1,,/e268,"actions,text","heading,header,h1,large text,title,level 1,text edit,rich-text"
heading-2,,/e269,"actions,text","heading,header,h2,large text,title,level 2,text edit,rich-text"
heading-3,,/e26a,"actions,text","heading,header,h3,large text,title,level 3,text edit,rich-text"
decrease-line-height,,/e26b,"actions,text","decrease,line height,leading,text edit,spacing,rich-text,less space,reduce,compress,arrows"
increase-line-height,,/e26c,"actions,text","increase,line height,leading,text edit,spacing,rich-text,more space,enlarge,expand,arrows"
fx,,/e26d,"actions,text","function,formula,effects,fx,calculation,mathematics,sum,letters,conditions"
add-folder,,/e26e,"action,folder","folder,add,directory,additional,library"
away,,/e26f,status,"time,clock,away,availability,chronicle,be right back,appear away,off work,me"
busy,,/e270,status,"busy,unavailable,not responsive,blocked,circle,dot,me,working"
appear-offline,,/e271,status,"appear-offline,offline,hide,blocked,circle,me"
blur,,/e272,action,"blur,tool,screenshot,image,edit,modify,distort,smudge,blurry,filter,effects"
pixelate,,/e273,action,"pixel,tool,screenshot,image,edit,modify,distort,pixelate,sqaures,dots,resolution,noise"
horizontal-combination-chart,,/e274,charts,"analytics,chart,display,data,combination,line-chart,bar,horizontal"
add-employee,,/e275,"action,people","customer,user,person,individual,contacts,add,additional,employee,hr,human resources,plus"
text-color,,/e276,text,"color,formatting,edit,colour,letters,rich,rich-text,options"
browse-folder,,/e277,folder,"browse folder,search,look up,folder,browse,directory,library,find"
primary-key,,/e278,objects,"key,primary,data,lock,important"
two-keys,,/e279,objects,"key,primary,foreign,data,lock,important"
strikethrough,,/e27a,text,"strike,formatting,edit,cross out,letters,rich,rich-text,options,review"
text,,/e27b,text,"text,formatting,edit,input,letters,rich,rich-text"
responsive,,/e27c,devices,"desktop,tablet,mobile,phone,adaptive,cozy,compact,web app"
desktop-mobile,,/e27d,devices,"desktop,tablet,mobile,phone,adaptive,cozy,compact,web app,responsive,adaptive"
table-row,,/e27e,"objects,tables","display,data,table,table row,grid,view,rows,waffle"
table-column,,/e27f,"objects,tables","display,data,table,table column,grid,view,columns,waffle"
validate,,/e280,"status,action","message,check,validate,security,status,approve,reject,decision,certify"
keyboard-and-mouse,,/e281,"objects,action","mouse,desktop,click,keyboard,compact,condensed,controls,devices"
touch,,/e282,"objects,action","finger,mobile,press,touch,cozy,comfortable,controls,devices"
expand-all,,/e283,arrows,"expand,all,open,open all,expand all,arrow,table,tree,list"
combine,,/e285,arrows,"combine,merge,arrow-right,combine-split,runtime authoring,settings"
split,,/e286,arrows,"split,arrows-right,user,runtime authoring,settings"
megamenu,,/e287,arrows,"navigation,arrows-down,arrow-down,down,shell"
feedback,,/e288,callout,"feedback,smiley,comment,shell,callout,speech"
information,,/e289,status,"information,info,message,message-information,i,filled,notification"
s4hana,,/e28A,objects,"s4hana,S/4HANA,HANA,hana,s4,S/4,product switch,product,switch"
translate,,/e28B,text,"translate,text,letters,translation,A,arrows"
clear-all,,/e28C,"actions,tables","clear,clear-all,square,x,delete,remove,check,uncheck"
command-line-interfaces,,/e28D,arrows,"command,command-line,interfaces,code,develop,source,source-code,write,syntax,programming,technical"
sum,,/e28E,tables,"sigma,sum,summation,addition,total,aggregate,amount,covariance,covariance matrix"
qr-code,,/e28F,objects,"qr,qrcode,qr-code,scan,code"
space-navigation,,e290,places,"space, navigation, circle, shape, line"
in-progress,,e291,status,"in process, status, working, current, on-going, clock, Time, Square"
not-editable,,e292,places,"not editable, pencil, status, editable false, crossed-out"
